#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Oct 09 17:21:02 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Papilio_DUO_LX9_map.ncd
#OUTPUT FILE:      Papilio_DUO_LX9_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P46,RXD,IOB,IO_L49P_D3_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P47,Arduino_52,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P48,Arduino_51,IOB,IO_L48P_D7_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,Arduino_50,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P51,Arduino_49,IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,Arduino_48,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P56,Arduino_47,IOB,IO_L30P_GCLK1_D13_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P57,Arduino_46,IOB,IO_L14N_D12_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P58,Arduino_45,IOB,IO_L14P_D11_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P59,Arduino_44,IOB,IO_L13N_D10_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,PROHIBITED,,,
P61,Arduino_43,IOB,IO_L12N_D2_MISO3_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P62,Arduino_42,IOB,IO_L12P_D1_MISO2_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,SPI_MOSI,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
P65,SPI_MISO,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P66,Arduino_41,IOB,IO_L2N_CMPMOSI_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P67,Arduino_40,IOB,IO_L2P_CMPCLK_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,PROHIBITED,,,
P70,SPI_SCK,IOB,IO_L1P_CCLK_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,Arduino_39,IOB,IO_L74N_DOUT_BUSY_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P75,Arduino_38,IOB,IO_L74P_AWAKE_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,Arduino_37,IOB,IO_L47N_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P79,Arduino_36,IOB,IO_L47P_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P80,Arduino_35,IOB,IO_L46N_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P81,Arduino_34,IOB,IO_L46P_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P82,Arduino_33,IOB,IO_L45N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,Arduino_32,IOB,IO_L45P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P84,Arduino_31,IOB,IO_L43N_GCLK4_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P85,Arduino_30,IOB,IO_L43P_GCLK5_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,Arduino_29,IOB,IO_L42N_GCLK6_TRDY1_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P88,Arduino_28,IOB,IO_L42P_GCLK7_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,Arduino_27,IOB,IO_L41N_GCLK8_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P93,Arduino_26,IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P94,CLK,IOB,IO_L40N_GCLK10_1,INPUT,LVTTL,1,,,,NONE,,LOCATED,NO,NONE,
P95,Arduino_25,IOB,IO_L40P_GCLK11_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,Arduino_24,IOB,IO_L34N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P98,Arduino_23,IOB,IO_L34P_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P99,Arduino_22,IOB,IO_L33N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P100,Arduino_21,IOB,IO_L33P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P101,Arduino_20,IOB,IO_L32N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P102,Arduino_19,IOB,IO_L32P_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,,IOBS,IO_L1N_VREF_1,UNUSED,,1,,,,,,,,,
P105,Arduino_18,IOB,IO_L1P_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,Arduino_17,IOB,IO_L66N_SCP0_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P112,Arduino_16,IOB,IO_L66P_SCP1_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,Arduino_15,IOB,IO_L65N_SCP2_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P115,Arduino_14,IOB,IO_L65P_SCP3_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P116,Arduino_0,IOB,IO_L64N_SCP4_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P117,Arduino_1,IOB,IO_L64P_SCP5_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P118,Arduino_2,IOB,IO_L63N_SCP6_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P119,Arduino_3,IOB,IO_L63P_SCP7_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P120,Arduino_4,IOB,IO_L62N_VREF_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P121,Arduino_5,IOB,IO_L62P_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,Arduino_6,IOB,IO_L37N_GCLK12_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P124,Arduino_7,IOB,IO_L37P_GCLK13_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,Arduino_8,IOB,IO_L36N_GCLK14_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P127,Arduino_9,IOB,IO_L36P_GCLK15_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,Arduino_10,IOB,IO_L35N_GCLK16_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P132,Arduino_11,IOB,IO_L35P_GCLK17_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P133,Arduino_12,IOB,IO_L34N_GCLK18_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P134,Arduino_13,IOB,IO_L34P_GCLK19_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
P138,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
P139,ARD_RESET,IOB,IO_L3N_0,OUTPUT,LVTTL,0,8,SLOW,,,,LOCATED,NO,NONE,
P140,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
P141,TXD,IOB,IO_L2N_0,OUTPUT,LVTTL,0,8,FAST,,,,LOCATED,NO,NONE,
P142,sram_addr<9>,IOB,IO_L2P_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,YES,NONE,
P143,sram_addr<8>,IOB,IO_L1N_VREF_0,OUTPUT,LVTTL,0,12,FAST,,,,LOCATED,YES,NONE,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,PROHIBITED,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
